/* 64- and 128- Bit Instructions */
/*  Instruction;Operands;Operation;Decode Unit;Execution Unit;Base Latency; */
/*              +Memory Latency;Throughput;Category  */
/*  By default, if an instruction has no character to its left, this means */
/*  that there is always a 2-cycle difference between that instruction have */
/*  only xmmister operands and that instruction having a memory operand. */
/*  Any instruction that has a memory operand as its second operand is a */
/*  LOAD. Instructions with an * in front of them means that the operands */
/*  must be inspected before you can tell which        */
/*  execution it will use and, therefore, its latency. */

*MOVUPS  xmm,mem         MOV     single  FSTORE           2   0   2/1   FLOAD-2

CMPPD    xmm,xmm,imm     ADD     single  FADD       2    2    1/1   FADD-2
CMPPS    xmm,xmm,imm     ADD     single  FADD       2    2    1/1   FADD-2
CMPSD    xmm,xmm,imm     ADD     single  FADD       2    2    1/1   FADD-2
CMPSS    xmm,xmm,imm     ADD     single  FADD       2    2    1/1   FADD-2
MAXPD    xmm,xmm         ADD     single  FADD       2    2    1/1   FADD-2
MAXPS    xmm,xmm         ADD     single  FADD       2    2    1/1   FADD-2
MAXSD    xmm,xmm         ADD     single  FADD       2    2    1/1   FADD-2
MAXSS    xmm,xmm         ADD     single  FADD       2    2    1/1   FADD-2
MINPD    xmm,xmm         ADD     single  FADD       2    2    1/1   FADD-2
MINPS    xmm,xmm         ADD     single  FADD       2    2    1/1   FADD-2
MINSD    xmm,xmm         ADD     single  FADD       2    2    1/1   FADD-2
MINSS    xmm,xmm         ADD     single  FADD       2    2    1/1   FADD-2
PFCMPEQ  mm,mm           ADD     single  FADD       2    2    1/1   FADD-2
PFCMPGE  mm,mm           ADD     single  FADD       2    2    1/1   FADD-2
PFCMPGT  mm,mm           ADD     single  FADD       2    2    1/1   FADD-2
PFMAX    mm,mm           ADD     single  FADD       2    2    1/1   FADD-2
PFMIN    mm,mm           ADD     single  FADD       2    2    1/1   FADD-2
MOVLHPS  xmm,xmm         MOV     single  FADD/FMUL  2    0    2/1   FADD-2
MOVHLPS  xmm,xmm         MOV     single  FADD/FMUL  2    0    2/1   FADD-2
*MOVSD   xmm,xmm         MOV     single  FADD/FMUL  2    0    2/1   FADD-2
*MOVSD   xmm,mem         MOV     single  FADD       2    0    2/1   FLOAD-2
*MOVSD   mem,xmm         MOV     single  FSTORE     2    0    1/1   FSTORE-2
*MOVSHDUP xmm,xmm        MOV     single  FADD/FMUL  2    0    2/1   FADD-2
*MOVSHDUP xmm,mem        MOV     single  FSTORE     2    0    2/1   FLOAD-2
*MOVSLDUP xmm,xmm        MOV     single  FADD/FMUL  2    0    2/1   FADD-2
*MOVSLDUP xmm,mem        MOV     single  FSTORE     2    0    2/1   FLOAD-2
*MOVSS   xmm,xmm         MOV     single  FADD/FMUL  2    0    2/1   FADD-2
*MOVSS   mem,xmm         MOV     single  FSTORE     2    0    1/1   FSTORE-2
*MOVSS   xmm,mem         MOV     single  FSTORE     2    0    2/1   FLOAD-2
ANDNPD   xmm,xmm         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
ANDNPS   xmm,xmm         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
ANDPD    xmm,xmm         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
ANDPS    xmm,xmm         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
EXTRQ    xmm,xmm/imm,imm ADD     single  FADD/FMUL  2    0    2/1   FADD-2
ORPD     xmm,xmm         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
ORPS     xmm,xmm         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PACKSSDW xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PACKSSWB xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PACKUSWB xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PADDB    xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PADDW    xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PADDD    xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PADDQ    xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PADDSB   xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PADDSW   xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PADDUSB  xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PADDUSW  xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PAND     xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PANDN    xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PAVGB    xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PAVGW    xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PAVGUSB  mm,mm           ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PCMPEQB  xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PCMPEQW  xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PCMPEQD  xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PCMPGTB  xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PCMPGTW  xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PCMPGTD  xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PMAXSW   xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PMAXUB   xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PMINSW   xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PMINUB   xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
POR      xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PSHUFD   xmm,xmm         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PSHUFW   mm,mm           ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PSHUFHW  xmm,xmm         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PSHUFLW  xmm,xmm         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PSLLW    xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PSLLD    xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PSLLQ    xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PSLLDQ   xmm,xmm         ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PSRAW    xmm/mm,(xmm/mm)/imm ADD single  FADD/FMUL  2    2    2/1   FADD-2
PSRAD    xmm/mm,(xmm/mm)/imm ADD single  FADD/FMUL  2    2    2/1   FADD-2
PSRLW    xmm/mm,(xmm/mm)/imm ADD single  FADD/FMUL  2    2    2/1   FADD-2
PSRLD    xmm/mm,(xmm/mm)/imm ADD single  FADD/FMUL  2    2    2/1   FADD-2
PSRLQ    xmm/mm,(xmm/mm)/imm ADD single  FADD/FMUL  2    2    2/1   FADD-2
PSRLDQ   xmm,imm         ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PSUBB    xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PSUBW    xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PSUBD    xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PSUBQ    xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PSUBSB   xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PSUBSW   xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PSUBUSB  xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PSUBUSW  xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PSWAPD   mm,mm           ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PUNPCKHBW xmm/mm,xmm/mm  ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PUNPCKHWD xmm/mm,xmm/mm  ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PUNPCKHDQ xmm/mm,xmm/mm  ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PUNPCKHQDQ xmm,xmm       ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PUNPCKLBW xmm/mm,xmm/mm  ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PUNPCKLWD xmm/mm,xmm/mm  ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PUNPCKLDQ xmm/mm,xmm/mm  ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PUNPCKLQDQ xmm,xmm       ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PXOR     xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
SHUFPD   xmm,xmm         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
SHUFPS   xmm,xmm         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
UNPCKHPD xmm,xmm         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
UNPCKHPS xmm,xmm         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
UNPCKLPD xmm,xmm         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
UNPCKLPS xmm,xmm         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
XORPD    xmm,xmm         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
XORPS    xmm,xmm         ADD     single  FADD/FMUL  2    2    2/1   FADD-2

MOVMSKPD reg,xmm         MOV     single  FADD       3    0    1/1   FADD-3
MOVMSKPS reg,xmm         MOV     single  FADD       3    0    1/1   FADD-3
PMOVMSKB reg,xmm/mm      ADD     single  FADD       3    0    1/1   FADD-3
COMISD   xmm,xmm         ADD     single  FADD       3    2    1/1   FADD-3
COMISS   xmm,xmm         ADD     single  FADD       3    2    1/1   FADD-3
PSADBW   xmm/mm,xmm/mm   ADD     single  FADD       3    2    1/1   FADD-3
UCOMISD  xmm,xmm         ADD     single  FADD       3    2    1/1   FADD-3
UCOMISS  xmm,xmm         ADD     single  FADD       3    2    1/1   FADD-3

ADDPD    xmm,xmm         ADD     single  FADD       4    2    1/1   FADD-4
ADDPS    xmm,xmm         ADD     single  FADD       4    2    1/1   FADD-4
ADDSD    xmm,xmm         ADD     single  FADD       4    2    1/1   FADD-4
ADDSS    xmm,xmm         ADD     single  FADD       4    2    1/1   FADD-4
ADDSUBPD xmm,xmm         ADD     single  FADD       4    2    1/1   FADD-4
ADDSUBPS xmm,xmm         ADD     single  FADD       4    2    1/1   FADD-4
HADDPD   xmm,xmm         ADD     single  FADD       4    2    1/1   FADD-4
HADDPS   xmm,xmm         ADD     single  FADD       4    2    1/1   FADD-4
HSUBPD   xmm,xmm         ADD     single  FADD       4    2    1/1   FADD-4
HSUBPS   xmm,xmm         ADD     single  FADD       4    2    1/1   FADD-4
PF2ID    mm,mm           ADD     single  FADD       4    2    1/1   FADD-4
PF2IW    mm,mm           ADD     single  FADD       4    2    1/1   FADD-4
PFACC    mm,mm           ADD     single  FADD       4    2    1/1   FADD-4
PFADD    mm,mm           ADD     single  FADD       4    2    1/1   FADD-4
PFNACC   mm,mm           ADD     single  FADD       4    2    1/1   FADD-4
PFPNACC  mm,mm           ADD     single  FADD       4    2    1/1   FADD-4
PFSUB    mm,mm           ADD     single  FADD       4    2    1/1   FADD-4
PFSUBR   mm,mm           ADD     single  FADD       4    2    1/1   FADD-4
PI2FD    mm,mm           ADD     single  FADD       4    2    1/1   FADD-4
PI2FW    mm,mm           ADD     single  FADD       4    2    1/1   FADD-4
SUBPD    xmm,xmm         ADD     single  FADD       4    2    1/1   FADD-4
SUBPS    xmm,xmm         ADD     single  FADD       4    2    1/1   FADD-4
SUBSD    xmm,xmm         ADD     single  FADD       4    2    1/1   FADD-4
SUBSS    xmm,xmm         ADD     single  FADD       4    2    1/1   FADD-4

*PINSRW  xmm,reg,imm     ADD     single  FADD/FMUL  4    0    1/1   FADD-4
*PINSRW  xmm,reg,imm     ADD     double  FADD/FMUL  9    0    1/1   FADD-9

*MOVHPD  mem,xmm         MOV     single  FSTORE     2    0    1/1   FSTORE-2
*MOVHPD  xmm,mem         MOV     single  FADD/FMUL  4    0    2/1   FLOAD-4
*MOVHPS  mem,xmm         MOV     single  FSTORE     2    0    1/1   FSTORE-2
*MOVHPS  xmm,mem         MOV     single  FADD/FMUL  4    0    2/1   FLOAD-4
*MOVLPD  mem,xmm         MOV     single  FSTORE     2    0    1/1   FSTORE-2
*MOVLPD  xmm,mem         MOV     single  FADD/FMUL  4    0    2/1   FLOAD-4
*MOVLPS  mem,xmm         MOV     single  FSTORE     2    0    1/1   FSTORE-2
*MOVLPS  xmm,mem         MOV     single  FADD/FMUL  4    0    2/1   FLOAD-4

/* The instruction latency is not given for these instructions in manual */
/* 40546.pdf, pg 261               */
MOVNTDQ  mem,xmm         MOV     double  FSTORE     99   0    1/99  FSTORE-X
MOVNTPD  mem,xmm         MOV     double  FSTORE     99   0    1/99  FSTORE-X
MOVNTPS  mem,xmm         MOV     double  FSTORE     99   0    1/99  FSTORE-X
MOVNTSD  mem,xmm         MOV     double  FSTORE     99   0    1/99  FSTORE-X
MOVNTSS  mem,xmm         MOV     double  FSTORE     99   0    1/99  FSTORE-X
MOVNTQ   mem,mm          MOV     single  FSTORE     99   0    1/99  FSTORE-X

LDDQU    xmm,mem         LOAD    single  FSTORE     2    0    2/1   FLOAD-2

CVTPS2PD xmm,xmm         CNVT    single  FSTORE     2    2    1/1   REGWRITE-2

CVTDQ2PD xmm,xmm         CNVT    single  FSTORE     4    2    1/1   REGWRITE-4
CVTDQ2PS xmm,xmm         CNVT    single  FSTORE     4    2    1/1   REGWRITE-4
CVTPI2PD xmm,mm          CNVT    single  FSTORE     4    2    1/1   REGWRITE-4
CVTPS2DQ xmm,xmm         CNVT    single  FSTORE     4    2    1/1   REGWRITE-4
CVTTPS2DQ xmm,xmm        CNVT    single  FSTORE     4    2    1/1   REGWRITE-4
CVTPS2PI mm,xmm          CNVT    single  FSTORE     4    2    1/1   REGWRITE-4
CVTTPS2PI mm,xmm         CNVT    single  FSTORE     4    2    1/1   REGWRITE-4

PEXTRW   reg,xmm/mm,imm  ADD/WRITE double FADD&FSTORE 6   0   1/1   REGWRITE-6

CVTPD2DQ xmm,xmm    ADD/WRITE double  (FADD/FMUL)&FSTORE 7  2  1/1  REGWRITE-7
CVTTPD2DQ xmm,xmm   ADD/WRITE double  (FADD/FMUL)&FSTORE 7  2  1/1  REGWRITE-7
CVTPD2PI mm,xmm     ADD/WRITE double  (FADD/FMUL)&FSTORE 7  2  1/1  REGWRITE-7
CVTTPD2PI mm,xmm    ADD/WRITE double  (FADD/FMUL)&FSTORE 7  2  1/1  REGWRITE-7
CVTPD2PS xmm,xmm    ADD/WRITE double  (FADD/FMUL)&FSTORE 7  2  1/1  REGWRITE-7
CVTPI2PS xmm,mm     ADD/WRITE double  (FADD/FMUL)&FSTORE 7  2  1/1  REGWRITE-7
*CVTSS2SD xmm,xmm   ADD/WRITE vector  (FADD/FMUL)&FSTORE 7  0  1/1  REGWRITE-7
*CVTSS2SD xmm,mem   ADD/WRITE double  (FADD/FMUL)&FSTORE 7  0  1/1  REGWRITE-7

/* This is actually not quite correct. There's an 8-cycle that uses the vector */
/* path, no mem operand; There's a 9-cycle that uses the double path and has a */
/* memory operand.  Probably rarely occurs.              */
CVTSD2SS xmm,xmm   ADD/WRITE double  (FADD/FMUL)&FSTORE 8  1   1/1  REGWRITE-8
CVTSD2SI reg,xmm         ADD/WRITE double  FADD&FSTORE 8   2   1/1  REGWRITE-8
CVTTSD2SI reg,xmm        ADD/WRITE double  FADD&FSTORE 8   2   1/1  REGWRITE-8
CVTSS2SI reg,xmm         ADD/WRITE double  FADD&FSTORE 8   2   1/1  REGWRITE-8
CVTTSS2SI reg,xmm        ADD/WRITE double  FADD&FSTORE 8   2   1/1  REGWRITE-8

*CVTSI2SD xmm,mem  ADD/WRITE double  (FADD/FMUL)&FSTORE 9    0  1/1  REGWRITE-9
*CVTSI2SD xmm,reg  ADD/WRITE vector  (FADD/FMUL)&FSTORE 14   0  1/1  REGWRITE-14
*CVTSI2SS xmm,mem  ADD/WRITE double  (FADD/FMUL)&FSTORE 9    0  1/1  REGWRITE-9
*CVTSI2SS xmm,reg  ADD/WRITE vector  (FADD/FMUL)&FSTORE 14   0  1/1  REGWRITE-14

PFRCP    mm,mm           FMUL    single  FMUL       3    2    1/1   FMUL-3
PFRSQRT  mm,mm           FMUL    single  FMUL       3    2    1/1   FMUL-3
PMADDWD  xmm/mm,xmm/mm   FMUL    single  FMUL       3    2    1/1   FMUL-3
PMULHUW  xmm,xmm         FMUL    single  FMUL       3    2    1/1   FMUL-3
PMULHW   xmm,xmm         FMUL    single  FMUL       3    2    1/1   FMUL-3
PMULLW   xmm,xmm         FMUL    single  FMUL       3    2    1/1   FMUL-3
PMULUDQ  xmm,xmm         FMUL    single  FMUL       3    2    1/1   FMUL-3
PMULHRW  mm,mm           FMUL    single  FMUL       3    2    1/1   FMUL-3
PMULHUW  mm,mm           FMUL    single  FMUL       3    2    1/1   FMUL-3
PMULHW   mm,mm           FMUL    single  FMUL       3    2    1/1   FMUL-3
PMULLW   mm,mm           FMUL    single  FMUL       3    2    1/1   FMUL-3
PMULUDQ  mm,mm           FMUL    single  FMUL       3    2    1/1   FMUL-3
RCPPS    xmm,xmm         FMUL    single  FMUL       3    2    1/1   FMUL-3
RCPSS    xmm,xmm         FMUL    single  FMUL       3    2    1/1   FMUL-3
RSQRTPS  xmm,xmm         FMUL    single  FMUL       3    2    1/1   FMUL-3
RSQRTSS  xmm,xmm         FMUL    single  FMUL       3    2    1/1   FMUL-3

MULPD    xmm,xmm         FMUL    single  FMUL       4    2    1/1   FMUL-4
MULPS    xmm,xmm         FMUL    single  FMUL       4    2    1/1   FMUL-4
MULSD    xmm,xmm         FMUL    single  FMUL       4    2    1/1   FMUL-4
MULSS    xmm,xmm         FMUL    single  FMUL       4    2    1/1   FMUL-4
PFMUL    mm,mm           FMUL    single  FMUL       4    2    1/1   FMUL-4
PFRCPIT1 mm,mm           FMUL    single  FMUL       4    2    1/1   FMUL-4
PFRCPIT2 mm,mm           FMUL    single  FMUL       4    2    1/1   FMUL-4
PFRSQIT1 mm,mm           FMUL    single  FMUL       4    2    1/1   FMUL-4

DIVSS    xmm,xmm         FDIV    single  FMUL       16   2    1/13  FDIV-16
DIVPS    xmm,xmm         FDIV    single  FMUL       18   2    1/15  FDIV-18
DIVPD    xmm,xmm         FDIV    single  FMUL       20   2    1/17  FDIV-20
DIVSD    xmm,xmm         FDIV    single  FMUL       20   2    1/17  FDIV-20

SQRTSS   xmm,xmm         SQRT    single  FMUL       19   2    1/18  FSQRT-19
SQRTPS   xmm,xmm         SQRT    single  FMUL       21   2    1/18  FSQRT-21
SQRTPD   xmm,xmm         SQRT    single  FMUL       27   2    1/24  FSQRT-27
SQRTSD   xmm,xmm         SQRT    single  FMUL       27   2    1/24  FSQRT-27

FRSTOR   reg             RESTORE vector  NONE      133  0    1/133  SPECIAL
FSAVE    reg             SAVE    vector  NONE      162  0    1/162  SPECIAL
FXRSTOR  reg             RESTORE vector  NONE      89   0    1/89  SPECIAL
FXSAVE   reg             SAVE    vector  NONE      63   0    1/63  SPECIAL
*INSERTQ xxm,xxm         INSERT  vector  FSTORE     5   0    1/5   SPECIAL
*INSERTQ xxm,xxm,imm,imm INSERT  vector  FSTORE     5   0    1/5   SPECIAL
LDMXCSR  mem             LOAD    vector  FSTORE    12   0    1/12  SPECIAL
MASKMOVDQU xmm,xmm       MOV     vector  FSTORE    99   0    1/99  SPECIAL
MASMOVQ  mm,mm           MOV     vector  FSTORE    99   0    1/99  SPECIAL
STMXCSR  none            STORE   vector  FSTORE    12   0    1/12  SPECIAL

/* General Purpose Instructions */

/*  Instruction;Operands;Operation;Decode Unit;Execution Unit;Base Latency;*/
/*              +Memory Latency;Throughput;Category       */
/*  By default, if an instruction has no character to its left, this means */
/*  that there is always a 2-cycle difference between that instruction have */
/*  only xmm register operands and that instruction having a memory operand.*/
/*  Any instruction that has a memory operand as its second operand is a LOAD.*/
/*  Instructions with an * in front of them means that the operands must be */
/*  inspected before you can tell which      */
/*  execution unit it will use, and therefore, its latency. */

/* I'm actually not sure of the throughput of any of these instructions. */
/* The instruction table doesn't have a throughput column, so I'm assuming */
/* that the throughput is 1/1, but this may need to be verified with */
/*  microbenchmarks. */

*ADC     reg,reg/imm     ADD     single  ALU        1    3    1/1   ALU-1 
//*ADC     mem,reg/imm     ADD     single  ALU        4    0    1/1   STORE-4
*ADD     reg,reg/imm     ADD     single  ALU        1    3    1/1   ALU-1 
//*ADD     mem,reg/imm     ADD     single  ALU        4    0    1/1   STORE-4
*AND     reg,reg/imm     ADD     single  ALU        1    3    1/1   ALU-1 
//*AND     mem,reg/imm     ADD     single  ALU        4    0    1/1   STORE-4
BSWAP    reg             SWAP    single  ALU        1    0    1/1   ALU-1 
*BT      reg,reg/imm     BCPY    single  ALU        1    0    1/1   ALU-1 
//*BT      mem,imm         BCPY    single  ALU        4    0    1/1   ALU-4 
//*BT      mem,reg         BCPY    vector  ALU        7    0    1/1   ALU-7 
*BTC     reg,reg/imm     BCPY    double  ALU        2    0    1/1   ALU-2 
//*BTC     mem,imm         BCPY    vector  ALU        5    0    1/1   ALU-5 
//*BTC     mem,reg         BCPY    vector  ALU        8    0    1/1   ALU-8 
*BTR     reg,reg/imm     BCPY    double  ALU        2    0    1/1   ALU-2 
//*BTR     mem,imm         BCPY    vector  ALU        5    0    1/1   ALU-5 
//*BTR     mem,reg         BCPY    vector  ALU        8    0    1/1   ALU-8 
*BTS     reg,reg/imm     BCPY    double  ALU        2    0    1/1   ALU-2 
//*BTS     mem,imm         BCPY    vector  ALU        5    0    1/1   ALU-5 
//*BTS     mem,reg         BCPY    vector  ALU        8    0    1/1   ALU-8 
CMP      reg,reg/imm     CMP     single  ALU        1    3    1/1   ALU-1 
DEC      reg             ADD     single  ALU        1    3    1/1   ALU-1 
INC      reg             ADD     single  ALU        1    3    1/1   ALU-1 
NEG      reg             ADD     single  ALU        1    3    1/1   ALU-1 
NOT      reg             ADD     single  ALU        1    3    1/1   ALU-1 
*OR      reg,reg/imm     ADD     single  ALU        1    3    1/1   ALU-1 
//*OR      mem,reg/imm     ADD     single  ALU        4    0    1/1   STORE-4
*RCL     reg,1           ROT     single  ALU        1    0    1/1   ALU-1 
*RCL     mem,1           ROT     single  ALU        4    0    1/1   ALU-4 
*RCL     reg,CL          ROT     vector  ALU        6    0    1/1   ALU-6 
*RCL     reg,imm         ROT     vector  ALU        7    0    1/1   ALU-7 
*RCL     mem,imm/CL      ROT     vector  ALU        7    0    1/1   ALU-7 
*RCR     reg,1           ROT     single  ALU        1    0    1/1   ALU-1 
*RCR     reg,CL          ROT     vector  ALU        4    0    1/1   ALU-4 
*RCR     mem,imm/CL      ROT     vector  ALU        6    0    1/1   ALU-6 
*RCR     mem,1           ROT     single  ALU        4    0    1/1   ALU-4 
*RCR     reg,imm         ROT     vector  ALU        5    0    1/1   ALU-5 
ROL      reg,1/CL/imm    ROT     single  ALU        1    3    1/1   ALU-1 
ROR      reg,1/CL/imm    ROT     single  ALU        1    3    1/1   ALU-1 
*SAL     reg,1/CL/imm    SHIFT   single  ALU        1    0    1/1   ALU-1 
//*SAL     mem,1/CL/imm    SHIFT   single  ALU        4    0    1/1   ALU-4 
*SAR     reg,1/CL/imm    SHIFT   single  ALU        1    0    1/1   ALU-1 
//*SAR     mem,1/CL/imm    SHIFT   single  ALU        4    0    1/1   ALU-4 
*SBB     reg,reg/imm     ADD     single  ALU        1    3    1/1   ALU-1 
//*SBB     mem,reg/imm     ADD     single  ALU        4    0    1/1   STORE-4
*SHL     reg,1/CL/imm    SHIFT   single  ALU        1    0    1/1   ALU-1 
//*SHL     mem,1/CL/imm    SHIFT   single  ALU        4    0    1/1   ALU-4 
*SHR     reg,1/CL/imm    SHIFT   single  ALU        1    0    1/1   ALU-1 
